date,open,high,low,close,volume,base_asset_volume,no_trades,taker_buy_vol,taker_buy_base_asset_vol
27/10/2024,2482.51,2681.86,2464.13,2638.8,950101.9131,2440261308.150774,7874742,478675.093,1229477451.083801
30/10/2024,2638.8,2722.3,2467.67,2511.49,1294303.435,3357219278.245361,10706313,633268.8958,1644494094.660357
02/11/2024,2511.49,2523.45,2357.59,2398.21,728287.2142,1784757843.688129,6864133,346069.0773,848333846.6170031
05/11/2024,2398.21,2916.11,2380.74,2895.47,2064606.5687,5490830401.370375,13816214,1060049.9529,2818952230.753257
08/11/2024,2895.47,3248.52,2886.4,3183.21,1961120.5884,6018452727.606244,14044575,1012477.5225,3108223720.895054
11/11/2024,3183.2,3442.5,3105.0,3187.16,2892996.0696,9422345528.043823,24628813,1433517.6992,4670918377.321355
14/11/2024,3187.16,3240.4,3014.5,3132.87,1549043.4552,4835406712.457805,17403383,768816.1985,2400859100.9931726
17/11/2024,3132.88,3224.94,3034.99,3107.44,1590589.4126,4961516597.971805,17536970,795923.0366,2483901626.89098
20/11/2024,3107.45,3425.92,3029.41,3327.78,2081804.8464,6734731151.465907,21707967,1079191.0157,3488532619.3097672
23/11/2024,3327.78,3546.66,3281.4,3414.49,2149452.463,7330386779.794701,22586672,1080092.8859,3684802706.3245206
26/11/2024,3414.49,3684.92,3252.0,3578.79,1987917.2238,6906894941.427231,19055039,1025042.607,3565857018.697053
29/11/2024,3578.8,3746.8,3534.28,3707.61,1358267.2567,4965532306.142904,12550063,699941.8536,2559101479.879082
